Product ID,Quantity in Stock,Pallet Space,Posting Date
32,11,R01K09P01,2024-02-25
32,34,R01K04P02,2024-02-03
33,43,R01K09P02,2024-02-29
33,55,R02K10P02,2024-03-14
33,74,R03K08P02,2024-03-21
33,24,R01K04P03,2024-02-28
34,15,R01K01P01,2024-02-02
34,16,R01K10P03,2024-01-30
34,71,R05K01P01,2024-01-31
34,32,R05K09P02,2024-02-24
34,87,R05K01P01,2024-02-15
35,20,R05K02P01,2024-02-05
35,20,R03K02P03,2024-02-28
35,67,R04K04P02,2024-02-24
36,70,R03K05P01,2024-01-30
36,45,R04K06P03,2024-03-14
36,13,R04K08P01,2024-03-25
36,42,R01K03P01,2024-01-30
36,66,R01K01P02,2024-02-18
37,78,R02K05P02,2024-03-12
37,36,R05K10P03,2024-02-14
37,94,R05K10P03,2024-02-05
37,27,R03K03P02,2024-02-02
38,30,R04K06P03,2024-02-24
38,75,R05K09P03,2024-03-13
38,57,R05K05P01,2024-03-12
38,87,R05K04P03,2024-02-10
38,64,R01K03P03,2024-01-28
39,81,R05K07P01,2024-03-19
39,54,R04K05P02,2024-03-14
39,100,R03K01P01,2024-02-11
40,98,R02K09P01,2024-02-06
40,52,R01K07P01,2024-02-18
40,14,R05K01P02,2024-02-23
40,66,R01K03P02,2024-03-25
40,23,R05K04P03,2024-01-28
41,57,R01K05P03,2024-02-28
41,93,R02K06P02,2024-03-16
41,17,R01K05P03,2024-02-22
41,45,R03K02P01,2024-02-05
41,60,R02K08P03,2024-02-09
42,92,R04K02P02,2024-02-07
42,79,R01K06P02,2024-03-16
43,56,R05K08P01,2024-03-19
43,96,R03K03P03,2024-02-14
44,24,R02K09P02,2024-02-07
44,13,R04K09P02,2024-02-04
44,49,R04K06P02,2024-02-07
44,85,R03K05P03,2024-02-19
44,90,R03K03P01,2024-03-20
45,33,R04K10P03,2024-02-21
45,12,R04K01P03,2024-03-14
45,41,R05K08P01,2024-02-06
45,17,R01K08P03,2024-02-03
46,32,R05K02P03,2024-02-16
46,96,R02K04P01,2024-02-04
47,92,R01K07P03,2024-01-28
47,42,R04K02P01,2024-02-29
47,60,R04K07P01,2024-03-02
47,79,R03K06P03,2024-03-08
48,67,R03K07P03,2024-01-28
48,58,R02K06P01,2024-02-19
48,14,R02K05P01,2024-03-25
49,52,R03K10P03,2024-03-11
49,56,R01K07P01,2024-03-03
49,33,R03K04P03,2024-02-20
49,28,R04K01P02,2024-02-23
50,72,R05K07P01,2024-02-01
50,94,R05K07P03,2024-02-28
50,33,R03K06P03,2024-03-05
50,31,R01K04P01,2024-02-15
50,26,R02K02P02,2024-02-03
51,51,R01K04P01,2024-03-18
51,76,R02K08P01,2024-03-13
51,98,R04K04P01,2024-02-18
51,27,R04K09P03,2024-02-04
51,54,R04K07P03,2024-02-09
52,71,R03K08P03,2024-03-22
52,100,R03K06P03,2024-02-26
52,58,R01K03P02,2024-02-03
52,100,R05K07P03,2024-03-06
53,16,R05K10P03,2024-02-22
53,92,R05K10P01,2024-03-06
53,36,R03K08P02,2024-03-17
53,34,R02K04P02,2024-03-08
53,38,R05K05P02,2024-03-17
54,63,R03K10P02,2024-02-21
54,59,R02K05P03,2024-03-15
54,95,R02K07P03,2024-03-08
54,44,R02K02P02,2024-03-04
54,52,R04K09P02,2024-02-08
55,86,R02K06P03,2024-01-30
55,64,R02K03P03,2024-02-17
55,14,R05K06P02,2024-03-08
55,99,R04K10P01,2024-02-16
56,77,R01K06P03,2024-02-12
56,19,R01K06P03,2024-03-13
56,73,R04K09P03,2024-03-25
56,39,R03K07P01,2024-02-09
57,66,R03K09P01,2024-02-03
57,25,R01K04P01,2024-03-07
57,38,R01K03P01,2024-02-20
58,27,R01K02P02,2024-02-18
58,97,R05K04P03,2024-03-24
58,96,R03K02P01,2024-03-21
58,28,R02K09P02,2024-02-08
59,19,R04K09P01,2024-03-24
59,76,R03K07P03,2024-03-14
60,62,R05K09P03,2024-03-18
60,83,R03K01P02,2024-02-21
60,32,R03K08P03,2024-02-20
60,78,R02K01P01,2024-02-08
60,84,R03K07P02,2024-03-07
