id_transaction;name_customer;name_product;quantity_sold;date_transaction;category_product;unit_price;transaction_amount;region;id_seller
T54;Customer19;Stapler;9;2021-10-26;;;;North-West;S8
T55;Customer2;Stapler;3;2021-12-03;;;;North-East;S6
T56;Customer4;Electric Kettle;9;2021-01-12;Home Appliances;386.45;3478.05;South-West;S9
T57;Customer24;Fan;9;2021-06-19;;;;North-West;S8
T58;Customer14;Pen Set;4;2021-02-14;;;;North-West;S8
T59;Customer9;Air Purifier;7;2021-09-16;Home Appliances;289.79;2028.53;Central;S5
T60;Customer9;Desk Organizer;1;2021-06-12;;;;Central;S5
T61;Customer24;Toaster;9;2021-06-18;Home Appliances;472.73;4254.57;North-West;S8
T62;Customer21;Tablet;2;2021-01-31;Electronics;366.3;732.6;West;S4
T63;Customer28;VR Headset;2;2021-04-26;Electronics;421.47;842.94;Central;S5
T64;Customer27;Desk Organizer;1;2021-08-15;;;;Central;S5
T65;Customer2;Smartphone;2;2021-09-02;Electronics;443.38;886.76;North-East;S6
T66;Customer7;Smartwatch;9;2021-11-04;Electronics;133.49;1201.41;North-West;S8
T67;Customer8;Coffee Machine;4;2021-04-16;Home Appliances;488.53;1954.12;West;S4
T68;Customer23;Desk Lamp;8;2021-02-06;;;;South-East;S7
T69;Customer24;Fan;5;2021-04-12;;;;North-West;S8
T70;Customer21;Stapler;6;2021-05-03;;;;West;S4
T71;Customer11;Pen Set;2;2021-09-30;;;;Central;S5
T72;Customer3;Portable Speaker;2;2021-05-04;;;;South;S2
T73;Customer15;Drone;1;2021-07-19;Electronics;373.0;373.0;South-East;S7
T74;Customer27;Coffee Machine;7;2021-11-29;Home Appliances;488.53;3419.71;Central;S5
T75;Customer15;Tablet;5;2021-11-10;Electronics;366.3;1831.5;South-East;S7
T76;Customer9;Fan;5;2021-10-27;;;;Central;S5
T77;Customer1;Blender;9;2021-04-06;Home Appliances;448.75;4038.75;South-East;S7
T78;Customer19;Laptop;6;2021-09-27;Electronics;286.36;1718.16;North-West;S8
T79;Customer13;Microwave;3;2021-03-09;Home Appliances;409.2;1227.6;East;S3
T80;Customer18;Stapler;4;2021-09-28;;;;North-East;S6
T81;Customer14;Notebook;8;2021-10-09;;;;North-West;S8
T82;Customer23;Calculator;7;2021-02-08;;;;South-East;S7
T83;Customer10;Air Purifier;9;2021-06-01;Home Appliances;289.79;2608.11;South-East;S7
T84;Customer30;Camera;3;2021-11-10;Electronics;180.47;541.41;South-West;S9
T85;Customer22;Tablet;1;2021-06-28;Electronics;366.3;366.3;East;S3
T86;Customer3;Whiteboard Marker;10;2021-11-16;;;;South;S2
T87;Customer13;Tablet;8;2021-06-24;Electronics;366.3;2930.4;East;S3
T88;Customer1;Electric Kettle;3;2021-12-03;Home Appliances;386.45;1159.35;South-East;S7
T89;Customer17;Highlighter;7;2021-03-29;;;;West;S4
T90;Customer23;Pen Set;9;2021-04-07;;;;South-East;S7
T91;Customer27;Vacuum Cleaner;4;2021-03-04;Home Appliances;321.36;1285.44;Central;S5
T92;Customer22;Desk Lamp;10;2021-08-02;;;;East;S3
T93;Customer26;Paper Clips;9;2021-05-29;;;;North;S1
T94;Customer15;VR Headset;8;2021-08-24;Electronics;421.47;3371.76;South-East;S7
T95;Customer2;Whiteboard Marker;5;2021-10-17;;;;North-East;S6
T96;Customer10;Smartphone;10;2021-06-19;Electronics;443.38;4433.8;South-East;S7
T97;Customer27;Smartwatch;7;2021-10-07;Electronics;133.49;934.43;Central;S5
T98;Customer29;Desk Organizer;10;2021-07-02;;;;South-East;S7
T99;Customer12;Whiteboard Marker;7;2021-03-09;;;;North-East;S6
T100;Customer21;Whiteboard Marker;4;2021-10-13;;;;West;S4
T101;Customer5;Drone;1;2021-03-29;Electronics;373.0;373.0;Central;S5
T102;Customer16;Desk Lamp;1;2021-04-03;;;;East;S3
T103;Customer26;Highlighter;3;2021-10-04;;;;North;S1
T104;Customer29;Envelope;2;2021-08-19;;;;South-East;S7
T105;Customer19;VR Headset;1;2021-06-14;Electronics;421.47;421.47;North-West;S8
T106;Customer27;Whiteboard Marker;5;2021-02-12;;;;Central;S5
T107;Customer14;Laptop;2;2021-10-01;Electronics;286.36;572.72;North-West;S8
T108;Customer27;Smartwatch;4;2021-09-10;Electronics;133.49;533.96;Central;S5
T109;Customer2;Desk Organizer;6;2021-03-22;;;;North-East;S6
T110;Customer25;Binder;6;2021-07-24;;;;South-East;S7
T111;Customer10;E-reader;5;2021-04-16;Electronics;124.11;620.55;South-East;S7
T112;Customer3;Camera;3;2021-01-04;Electronics;180.47;541.41;South;S2
T113;Customer3;Smartphone;5;2021-03-16;Electronics;443.38;2216.9;South;S2
T114;Customer7;Toaster;2;2021-09-21;Home Appliances;472.73;945.46;North-West;S8
T115;Customer17;Highlighter;4;2021-06-03;;;;West;S4
T116;Customer14;Toaster;8;2021-08-14;Home Appliances;472.73;3781.84;North-West;S8
T117;Customer9;Envelope;7;2021-01-20;;;;Central;S5
T118;Customer18;Headphones;6;2021-07-19;Electronics;486.39;2918.34;North-East;S6
T119;Customer26;Highlighter;10;2021-10-06;;;;North;S1
T120;Customer11;Headphones;3;2021-07-13;Electronics;486.39;1459.17;Central;S5
T121;Customer21;Blender;8;2021-04-14;Home Appliances;448.75;3590.0;West;S4
T122;Customer3;Binder;4;2021-08-21;;;;South;S2
T123;Customer24;Stapler;5;2021-11-12;;;;North-West;S8
T124;Customer2;Desk Organizer;8;2021-01-18;;;;North-East;S6
T125;Customer9;Air Purifier;8;2021-09-04;Home Appliances;289.79;2318.32;Central;S5
T126;Customer9;Binder;3;2021-11-03;;;;Central;S5
T127;Customer17;Smartphone;5;2021-09-02;Electronics;443.38;2216.9;West;S4
T128;Customer12;Toaster;9;2021-09-30;Home Appliances;472.73;4254.57;North-East;S6
T129;Customer9;Electric Kettle;5;2021-07-16;Home Appliances;386.45;1932.25;Central;S5
T130;Customer9;Blender;1;2021-10-25;Home Appliances;448.75;448.75;Central;S5
T131;Customer8;Headphones;3;2021-05-06;Electronics;486.39;1459.17;West;S4
T132;Customer8;Microwave;7;2021-10-10;Home Appliances;409.2;2864.4;West;S4
T133;Customer9;Highlighter;2;2021-03-05;;;;Central;S5
T134;Customer2;Toaster;8;2021-05-06;Home Appliances;472.73;3781.84;North-East;S6
T135;Customer5;Toaster;10;2021-03-08;Home Appliances;472.73;4727.3;Central;S5
T136;Customer13;Electric Kettle;2;2021-03-25;Home Appliances;386.45;772.9;East;S3
T137;Customer21;Desk Organizer;10;2021-01-15;;;;West;S4
T138;Customer19;Toaster;10;2021-11-29;Home Appliances;472.73;4727.3;North-West;S8
T139;Customer26;Highlighter;7;2021-10-02;;;;North;S1
T140;Customer20;Hair Dryer;3;2021-10-29;Home Appliances;466.13;1398.39;South;S2
T141;Customer28;Smartwatch;10;2021-09-19;Electronics;133.49;1334.9;Central;S5
T142;Customer20;Highlighter;1;2021-11-30;;;;South;S2
T143;Customer12;Desk Lamp;1;2021-12-14;;;;North-East;S6
T144;Customer27;Envelope;1;2021-04-30;;;;Central;S5
T145;Customer2;Drone;3;2021-06-07;Electronics;373.0;1119.0;North-East;S6
T146;Customer3;Highlighter;7;2021-01-23;;;;South;S2
T147;Customer30;Calculator;3;2021-11-09;;;;South-West;S9
T148;Customer9;Calculator;2;2021-11-10;;;;Central;S5
T149;Customer13;Electric Kettle;9;2021-09-30;Home Appliances;386.45;3478.05;East;S3
T150;Customer27;Notebook;1;2021-12-04;;;;Central;S5
T151;Customer19;Air Purifier;1;2021-06-19;Home Appliances;289.79;289.79;North-West;S8
T152;Customer18;VR Headset;6;2021-10-20;Electronics;421.47;2528.82;North-East;S6
T153;Customer9;Whiteboard Marker;7;2021-10-17;;;;Central;S5
T154;Customer1;Electric Kettle;2;2021-04-02;Home Appliances;386.45;772.9;South-East;S7
T155;Customer24;Tablet;3;2021-10-16;Electronics;366.3;1098.9;North-West;S8
T156;Customer17;E-reader;6;2021-12-15;Electronics;124.11;744.66;West;S4
T157;Customer1;Smartphone;7;2021-02-11;Electronics;443.38;3103.66;South-East;S7
T158;Customer16;Pen Set;9;2021-10-03;;;;East;S3
T159;Customer21;Coffee Machine;1;2021-04-27;Home Appliances;488.53;488.53;West;S4
T160;Customer8;E-reader;7;2021-04-24;Electronics;124.11;868.77;West;S4
T161;Customer6;Headphones;10;2021-05-19;Electronics;486.39;4863.9;South;S2
T162;Customer30;Stapler;1;2021-09-04;;;;South-West;S9
T163;Customer11;Laptop;9;2021-10-06;Electronics;286.36;2577.24;Central;S5
T164;Customer6;Fan;5;2021-02-02;;;;South;S2
T165;Customer22;Coffee Machine;1;2021-06-03;Home Appliances;488.53;488.53;East;S3
T166;Customer9;Whiteboard Marker;8;2021-05-04;;;;Central;S5
T167;Customer8;Envelope;4;2021-09-25;;;;West;S4
T168;Customer4;Binder;4;2021-10-24;;;;South-West;S9
T169;Customer12;Tablet;2;2021-11-05;Electronics;366.3;732.6;North-East;S6
T170;Customer11;Air Purifier;3;2021-05-03;Home Appliances;289.79;869.37;Central;S5
T171;Customer8;Electric Kettle;1;2021-10-16;Home Appliances;386.45;386.45;West;S4
T172;Customer10;Air Purifier;4;2021-06-04;Home Appliances;289.79;1159.16;South-East;S7
T173;Customer28;Tablet;8;2021-10-19;Electronics;366.3;2930.4;Central;S5
T174;Customer26;Whiteboard Marker;3;2021-02-25;;;;North;S1
T175;Customer19;Pen Set;9;2021-10-05;;;;North-West;S8
T176;Customer1;Vacuum Cleaner;10;2021-02-02;Home Appliances;321.36;3213.6;South-East;S7
T177;Customer14;Whiteboard Marker;8;2021-08-21;;;;North-West;S8
T178;Customer10;Headphones;10;2021-04-20;Electronics;486.39;4863.9;South-East;S7
T179;Customer2;Microwave;5;2021-07-21;Home Appliances;409.2;2046.0;North-East;S6
T180;Customer5;Portable Speaker;7;2021-07-24;;;;Central;S5
T181;Customer23;VR Headset;4;2021-04-21;Electronics;421.47;1685.88;South-East;S7
T182;Customer2;Envelope;3;2021-01-22;;;;North-East;S6
T183;Customer10;Calculator;3;2021-08-08;;;;South-East;S7
T184;Customer14;Tablet;7;2021-12-16;Electronics;366.3;2564.1;North-West;S8
T185;Customer19;Fan;6;2021-10-31;;;;North-West;S8
T186;Customer4;Smartwatch;8;2021-09-24;Electronics;133.49;1067.92;South-West;S9
T187;Customer22;Stapler;1;2021-04-25;;;;East;S3
T188;Customer26;Paper Clips;4;2021-11-04;;;;North;S1
T189;Customer12;Fan;8;2021-10-10;;;;North-East;S6
T190;Customer2;Highlighter;9;2021-05-13;;;;North-East;S6
T191;Customer8;Binder;7;2021-02-16;;;;West;S4
T192;Customer17;Paper Clips;2;2021-09-30;;;;West;S4
T193;Customer13;Pen Set;8;2021-10-08;;;;East;S3
T194;Customer9;Headphones;8;2021-07-25;Electronics;486.39;3891.12;Central;S5
T195;Customer15;Coffee Machine;6;2021-04-23;Home Appliances;488.53;2931.18;South-East;S7
T196;Customer18;Calculator;10;2021-12-05;;;;North-East;S6
T197;Customer10;Air Purifier;8;2021-11-13;Home Appliances;289.79;2318.32;South-East;S7
T198;Customer18;Paper Clips;6;2021-04-28;;;;North-East;S6
T199;Customer15;Paper Clips;8;2021-01-13;;;;South-East;S7
T200;Customer11;Toaster;2;2021-01-11;Home Appliances;472.73;945.46;Central;S5
T201;Customer13;Blender;6;2021-05-01;Home Appliances;448.75;2692.5;East;S3
T202;Customer13;Envelope;10;2021-09-15;;;;East;S3
T203;Customer6;Blender;10;2021-03-21;Home Appliances;448.75;4487.5;South;S2
T204;Customer8;Highlighter;3;2021-02-18;;;;West;S4
T205;Customer30;Binder;10;2021-10-17;;;;South-West;S9
T206;Customer3;Microwave;9;2021-05-07;Home Appliances;409.2;3682.8;South;S2
T207;Customer30;Microwave;8;2021-04-09;Home Appliances;409.2;3273.6;South-West;S9
T208;Customer18;Hair Dryer;5;2021-10-16;Home Appliances;466.13;2330.65;North-East;S6
T209;Customer9;Air Purifier;5;2021-01-21;Home Appliances;289.79;1448.95;Central;S5
T210;Customer28;Coffee Machine;2;2021-02-03;Home Appliances;488.53;977.06;Central;S5
T211;Customer7;Hair Dryer;7;2021-10-29;Home Appliances;466.13;3262.91;North-West;S8
T212;Customer24;Microwave;5;2021-05-14;Home Appliances;409.2;2046.0;North-West;S8
T213;Customer28;Hair Dryer;2;2021-06-28;Home Appliances;466.13;932.26;Central;S5
T214;Customer5;Stapler;8;2021-02-08;;;;Central;S5
T215;Customer18;E-reader;9;2021-11-03;Electronics;124.11;1116.99;North-East;S6
T216;Customer29;Vacuum Cleaner;7;2021-04-25;Home Appliances;321.36;2249.52;South-East;S7
T217;Customer12;Headphones;2;2021-01-28;Electronics;486.39;972.78;North-East;S6
T218;Customer2;Fan;10;2021-10-03;;;;North-East;S6
T219;Customer10;Desk Organizer;1;2021-05-01;;;;South-East;S7
T220;Customer30;Portable Speaker;1;2021-12-06;;;;South-West;S9
T221;Customer13;Stapler;4;2021-07-17;;;;East;S3
T222;Customer23;Vacuum Cleaner;9;2021-06-17;Home Appliances;321.36;2892.24;South-East;S7
T223;Customer28;Toaster;5;2021-04-29;Home Appliances;472.73;2363.65;Central;S5
T224;Customer30;Smartphone;10;2021-05-22;Electronics;443.38;4433.8;South-West;S9
T225;Customer23;Toaster;4;2021-05-19;Home Appliances;472.73;1890.92;South-East;S7
T226;Customer16;Desk Organizer;8;2021-10-11;;;;East;S3
T227;Customer23;Smartphone;9;2021-08-24;Electronics;443.38;3990.42;South-East;S7
T228;Customer18;Pen Set;4;2021-03-29;;;;North-East;S6
T229;Customer25;Blender;7;2021-06-17;Home Appliances;448.75;3141.25;South-East;S7
T230;Customer10;Hair Dryer;6;2021-04-08;Home Appliances;466.13;2796.78;South-East;S7
T231;Customer10;Binder;8;2021-07-21;;;;South-East;S7
T232;Customer13;Hair Dryer;8;2021-04-26;Home Appliances;466.13;3729.04;East;S3
T233;Customer23;Whiteboard Marker;6;2021-06-27;;;;South-East;S7
T234;Customer20;Paper Clips;4;2021-10-12;;;;South;S2
T235;Customer20;Microwave;9;2021-02-16;Home Appliances;409.2;3682.8;South;S2
T236;Customer15;Laptop;8;2021-05-20;Electronics;286.36;2290.88;South-East;S7
T237;Customer14;Desk Organizer;7;2021-09-25;;;;North-West;S8
T238;Customer10;Headphones;3;2021-12-19;Electronics;486.39;1459.17;South-East;S7
T239;Customer8;Envelope;6;2021-03-10;;;;West;S4
T240;Customer8;Tablet;3;2021-08-17;Electronics;366.3;1098.9;West;S4
T241;Customer17;Highlighter;2;2021-08-16;;;;West;S4
T242;Customer12;Desk Organizer;7;2021-11-14;;;;North-East;S6
T243;Customer25;Notebook;5;2021-11-20;;;;South-East;S7
T244;Customer16;Smartwatch;7;2021-01-26;Electronics;133.49;934.43;East;S3
T245;Customer18;VR Headset;2;2021-12-11;Electronics;421.47;842.94;North-East;S6
T246;Customer13;Notebook;10;2021-10-23;;;;East;S3
T247;Customer2;Calculator;1;2021-12-09;;;;North-East;S6
T248;Customer8;Electric Kettle;10;2021-09-04;Home Appliances;386.45;3864.5;West;S4
T249;Customer16;Vacuum Cleaner;8;2021-08-14;Home Appliances;321.36;2570.88;East;S3
T250;Customer7;Smartwatch;4;2021-07-10;Electronics;133.49;533.96;North-West;S8
T251;Customer17;Air Purifier;5;2021-06-15;Home Appliances;289.79;1448.95;West;S4
T252;Customer27;Coffee Machine;7;2021-10-23;Home Appliances;488.53;3419.71;Central;S5
T253;Customer13;VR Headset;7;2021-03-30;Electronics;421.47;2950.29;East;S3
T254;Customer15;Desk Lamp;8;2021-02-24;;;;South-East;S7
T255;Customer9;Blender;6;2021-11-17;Home Appliances;448.75;2692.5;Central;S5
T256;Customer4;Portable Speaker;7;2021-08-05;;;;South-West;S9
T257;Customer21;E-reader;1;2021-02-18;Electronics;124.11;124.11;West;S4
T258;Customer11;Camera;2;2021-01-18;Electronics;180.47;360.94;Central;S5
T259;Customer19;Drone;8;2021-10-24;Electronics;373.0;2984.0;North-West;S8
T260;Customer27;Binder;4;2021-04-21;;;;Central;S5
T261;Customer8;Whiteboard Marker;6;2021-01-04;;;;West;S4
T262;Customer15;Coffee Machine;9;2021-05-08;Home Appliances;488.53;4396.77;South-East;S7
T263;Customer2;Pen Set;8;2021-04-26;;;;North-East;S6
T264;Customer15;Envelope;8;2021-07-08;;;;South-East;S7
T265;Customer11;Fan;7;2021-09-20;;;;Central;S5
T266;Customer6;Tablet;2;2021-04-24;Electronics;366.3;732.6;South;S2
T267;Customer19;Air Purifier;10;2021-11-19;Home Appliances;289.79;2897.9;North-West;S8
T268;Customer9;Electric Kettle;7;2021-03-19;Home Appliances;386.45;2705.15;Central;S5
T269;Customer19;Highlighter;7;2021-06-17;;;;North-West;S8
T270;Customer23;Hair Dryer;4;2021-03-25;Home Appliances;466.13;1864.52;South-East;S7
T271;Customer1;Tablet;4;2021-02-01;Electronics;366.3;1465.2;South-East;S7
T272;Customer19;Smartphone;3;2021-11-15;Electronics;443.38;1330.14;North-West;S8
T273;Customer12;Binder;8;2021-03-31;;;;North-East;S6
T274;Customer15;Notebook;5;2021-11-01;;;;South-East;S7
T275;Customer5;Air Purifier;1;2021-05-11;Home Appliances;289.79;289.79;Central;S5
T276;Customer18;Whiteboard Marker;6;2021-01-13;;;;North-East;S6
T277;Customer22;Microwave;6;2021-05-25;Home Appliances;409.2;2455.2;East;S3
T278;Customer18;Binder;2;2021-04-28;;;;North-East;S6
T279;Customer13;Pen Set;8;2021-05-25;;;;East;S3
T280;Customer19;Laptop;3;2021-06-05;Electronics;286.36;859.08;North-West;S8
T281;Customer18;Smartwatch;6;2021-10-12;Electronics;133.49;800.94;North-East;S6
T282;Customer8;Highlighter;10;2021-12-09;;;;West;S4
T283;Customer28;Camera;10;2021-04-24;Electronics;180.47;1804.7;Central;S5
T284;Customer21;Desk Organizer;1;2021-09-23;;;;West;S4
T285;Customer20;Smartphone;6;2021-09-29;Electronics;443.38;2660.28;South;S2
T286;Customer28;Binder;8;2021-05-07;;;;Central;S5
T287;Customer27;Microwave;9;2021-04-16;Home Appliances;409.2;3682.8;Central;S5
T288;Customer28;Pen Set;6;2021-04-28;;;;Central;S5
T289;Customer29;Laptop;3;2021-06-21;Electronics;286.36;859.08;South-East;S7
T290;Customer18;Drone;7;2021-05-17;Electronics;373.0;2611.0;North-East;S6
T291;Customer24;Envelope;8;2021-10-08;;;;North-West;S8
T292;Customer6;Hair Dryer;9;2021-11-18;Home Appliances;466.13;4195.17;South;S2
T293;Customer29;Desk Lamp;6;2021-04-09;;;;South-East;S7
T294;Customer22;Smartphone;5;2021-09-10;Electronics;443.38;2216.9;East;S3
T295;Customer3;Notebook;5;2021-01-11;;;;South;S2
T296;Customer7;Highlighter;1;2021-11-09;;;;North-West;S8
T297;Customer24;Microwave;5;2021-09-01;Home Appliances;409.2;2046.0;North-West;S8
T298;Customer29;Highlighter;10;2021-09-20;;;;South-East;S7
T299;Customer19;Drone;6;2021-11-10;Electronics;373.0;2238.0;North-West;S8
T300;Customer20;Binder;5;2021-06-21;;;;South;S2
T301;Customer12;Calculator;9;2021-12-03;;;;North-East;S6
T302;Customer20;Toaster;3;2021-11-25;Home Appliances;472.73;1418.19;South;S2
T303;Customer25;Electric Kettle;2;2021-01-27;Home Appliances;386.45;772.9;South-East;S7
T304;Customer8;Hair Dryer;7;2021-09-25;Home Appliances;466.13;3262.91;West;S4
T305;Customer18;Drone;7;2021-09-15;Electronics;373.0;2611.0;North-East;S6
T306;Customer11;Smartphone;1;2021-08-23;Electronics;443.38;443.38;Central;S5
T307;Customer4;Smartphone;3;2021-06-17;Electronics;443.38;1330.14;South-West;S9
T308;Customer18;Desk Organizer;4;2021-05-15;;;;North-East;S6
T309;Customer1;Smartwatch;5;2021-06-13;Electronics;133.49;667.45;South-East;S7
T310;Customer8;Toaster;10;2021-03-09;Home Appliances;472.73;4727.3;West;S4
T311;Customer21;Laptop;8;2021-02-01;Electronics;286.36;2290.88;West;S4
T312;Customer13;Blender;10;2021-05-29;Home Appliances;448.75;4487.5;East;S3
T313;Customer30;Smartphone;9;2021-01-05;Electronics;443.38;3990.42;South-West;S9
T314;Customer4;Fan;2;2021-06-28;;;;South-West;S9
T315;Customer12;Stapler;1;2021-05-29;;;;North-East;S6
T316;Customer13;Hair Dryer;8;2021-10-01;Home Appliances;466.13;3729.04;East;S3
T317;Customer8;Desk Lamp;10;2021-08-20;;;;West;S4
T318;Customer2;Smartwatch;8;2021-10-30;Electronics;133.49;1067.92;North-East;S6
T319;Customer19;Camera;10;2021-12-07;Electronics;180.47;1804.7;North-West;S8
T320;Customer23;Smartphone;5;2021-01-18;Electronics;443.38;2216.9;South-East;S7
T321;Customer4;Smartphone;9;2021-12-07;Electronics;443.38;3990.42;South-West;S9
T322;Customer3;Binder;9;2021-04-07;;;;South;S2
T323;Customer16;Air Purifier;6;2021-01-17;Home Appliances;289.79;1738.74;East;S3
T324;Customer11;Calculator;9;2021-11-14;;;;Central;S5
T325;Customer18;Desk Lamp;6;2021-07-23;;;;North-East;S6
T326;Customer26;Smartwatch;7;2021-11-13;Electronics;133.49;934.43;North;S1
T327;Customer12;Camera;9;2021-08-09;Electronics;180.47;1624.23;North-East;S6
T328;Customer13;Binder;10;2021-12-19;;;;East;S3
T329;Customer19;Smartphone;8;2021-05-12;Electronics;443.38;3547.04;North-West;S8
T330;Customer11;E-reader;6;2021-04-23;Electronics;124.11;744.66;Central;S5
T331;Customer3;E-reader;4;2021-03-30;Electronics;124.11;496.44;South;S2
T332;Customer16;VR Headset;6;2021-11-14;Electronics;421.47;2528.82;East;S3
T333;Customer23;Vacuum Cleaner;3;2021-06-15;Home Appliances;321.36;964.08;South-East;S7
T334;Customer7;Smartphone;5;2021-02-18;Electronics;443.38;2216.9;North-West;S8
T335;Customer2;Whiteboard Marker;5;2021-08-23;;;;North-East;S6
T336;Customer1;Blender;7;2021-10-18;Home Appliances;448.75;3141.25;South-East;S7
T337;Customer17;Notebook;7;2021-05-22;;;;West;S4
T338;Customer16;Smartphone;5;2021-03-27;Electronics;443.38;2216.9;East;S3
T339;Customer13;Coffee Machine;1;2021-04-21;Home Appliances;488.53;488.53;East;S3
T340;Customer21;Tablet;3;2021-02-18;Electronics;366.3;1098.9;West;S4
T341;Customer9;Portable Speaker;3;2021-10-15;;;;Central;S5
T342;Customer27;Microwave;4;2021-08-16;Home Appliances;409.2;1636.8;Central;S5
T343;Customer30;Smartphone;8;2021-10-16;Electronics;443.38;3547.04;South-West;S9
T344;Customer7;Hair Dryer;2;2021-07-05;Home Appliances;466.13;932.26;North-West;S8
T345;Customer3;Headphones;10;2021-05-28;Electronics;486.39;4863.9;South;S2
T346;Customer28;Envelope;10;2021-09-17;;;;Central;S5
T347;Customer29;Hair Dryer;5;2021-04-27;Home Appliances;466.13;2330.65;South-East;S7
T348;Customer25;Binder;4;2021-01-11;;;;South-East;S7
T349;Customer1;Binder;7;2021-10-29;;;;South-East;S7
T350;Customer13;Laptop;2;2021-07-16;Electronics;286.36;572.72;East;S3
T351;Customer24;Blender;6;2021-11-29;Home Appliances;448.75;2692.5;North-West;S8
T352;Customer30;Binder;7;2021-08-30;;;;South-West;S9
T353;Customer18;Air Purifier;4;2021-11-08;Home Appliances;289.79;1159.16;North-East;S6
T354;Customer12;Binder;1;2021-01-27;;;;North-East;S6
T355;Customer8;VR Headset;6;2021-11-06;Electronics;421.47;2528.82;West;S4
T356;Customer28;E-reader;2;2021-03-14;Electronics;124.11;248.22;Central;S5
T357;Customer17;Laptop;6;2021-11-24;Electronics;286.36;1718.16;West;S4
